Life expectancy,Adult Mortality
65,263
59.9,271
59.9,268
59.5,272
59.2,275
58.8,279
58.6,281
58.1,287
57.5,295
57.3,295
57.3,291
57,293
56.7,295
56.2,3
55.3,316
54.8,321
77.8,74
77.5,8
77.2,84
76.9,86
76.6,88
76.2,91
76.1,91
75.3,1
75.9,9
74.2,99
73.5,15
73,17
72.8,18
73.3,15
73.6,14
72.6,11
75.6,19
75.4,11
75.3,112
75.1,113
74.9,116
74.7,119
74.4,123
74.1,126
73.8,129
73.4,132
72.9,136
72.3,14
71.7,146
71.6,145
71.4,145
71.3,145
52.4,335
51.7,348
51.1,355
56,358
51,361
49.6,365
49.1,369
48.7,371
48.2,375
47.7,381
47.4,382
47.1,386
46.8,388
46.5,391
45.7,44
45.3,48
76.4,13
76.2,131
76.1,133
75.9,134
75.7,136
75.6,138
75.4,14
75.2,142
75,144
74.8,145
74.6,147
74.4,149
74.2,151
74,153
73.8,154
73.6,156
76.3,116
76.2,118
76,119
75.9,12
75.7,12
75.5,121
75.6,126
75.4,126
74.8,129
75.2,127
74.9,127
74.7,13
74.1,137
74.1,138
74,138
74.1,137
74.8,118
74.6,12
74.4,123
74.4,121
73.9,128
73.5,132
73.3,137
73.2,14
73.5,132
72.9,141
73,137
73,132
72.7,134
72.6,134
72.6,141
72,142
82.8,59
82.7,6
82.5,61
82.3,61
82,63
81.9,64
81.7,66
81.3,66
81.3,66
81.2,66
81,67
86,69
83,71
79.9,73
79.9,75
79.5,78
81.5,65
81.4,66
81.1,68
88,7
88,73
84,75
82,77
84,76
81,8
79.8,81
79.4,85
79.3,86
78.8,88
78.7,9
78.6,92
78.1,96
72.7,118
72.5,119
72.2,121
71.9,123
71.6,125
71.1,13
78,132
73,141
73,14
69.2,154
68.4,162
68.4,154
67.8,154
67.8,146
67.5,151
66.6,16
76.1,147
75.4,16
74.8,172
74.9,167
75,162
75,161
74.6,168
74.5,167
74.4,167
74.2,171
74.1,172
73.8,174
73.2,189
73.1,19
72.9,189
72.6,192
76.9,69
76.8,7
76.7,7
76.5,71
76.1,76
76.1,73
76,74
75.8,76
75.6,77
75.5,79
75.3,81
75.2,83
75,85
74.9,87
74.7,9
74.5,92
71.8,129
71.4,132
71,135
77,137
73,14
69.9,142
69.5,144
69.1,147
68.6,151
68.2,152
67.8,155
67.3,158
66.8,161
66.3,164
65.8,168
65.3,173
75.5,98
75.4,1
75.2,11
75.1,12
74.9,14
74.7,16
74.6,19
74.4,111
74.2,113
74.1,115
73.9,117
73.8,119
73.7,121
73.5,123
73.4,125
73.3,127
72.3,196
72,199
71.7,23
71.9,194
72,232
73,222
70,226
70,224
69.8,226
68.9,243
68.1,252
68.2,247
67.7,253
67.2,262
67.7,254
68,247
81.1,74
89,76
87,77
83,78
83,8
80,81
79.8,85
79.5,87
79.5,86
79.4,85
78.9,89
78.8,91
78.3,95
78,99
78,1
77.6,11
71,175
70,177
69.8,18
69.4,189
69.4,188
69.5,186
69.5,184
69.6,181
69.6,181
69.4,184
69,191
68.7,197
68.4,21
68.5,199
68.2,21
68.3,196
60,249
59.7,252
59.5,251
59.3,251
59.1,251
58.7,254
58.4,259
57.6,278
57.1,283
56.8,284
56.5,285
56.1,285
55.8,285
55.6,283
55.5,281
55.4,279
69.8,211
69.4,216
69.1,219
68.7,223
68.3,225
67.9,228
67.4,232
67,234
66.5,238
65.8,245
65,254
64.2,263
63.3,273
62.5,282
61.7,29
62,312
77,186
74,189
71,192
69.8,194
69.3,198
68.7,22
68,27
67.4,211
66.8,216
66.2,219
65.7,222
65.1,226
64.5,23
63.9,234
63.3,238
62.6,243
77.4,88
77.2,89
77,9
76.8,92
76.9,92
76.4,94
76.1,97
76,98
75.4,16
75.7,1
75,12
75.5,99
75.2,12
75.4,11
74.9,113
74.6,116
65.7,256
65.1,268
64.2,286
63.4,3
62.2,325
61.1,349
59.2,393
57.5,427
56.9,436
54.8,491
51.7,566
48.1,652
46.4,693
46,699
46.7,679
47.8,647
75,142
74.8,144
74.7,146
74.5,148
74.1,152
73.8,154
73.6,157
73.4,158
73.3,159
73,161
72.7,163
72,17
71.8,172
71.4,176
71,179
75,183
77.7,78
77.6,8
77.1,84
78.3,79
77.4,79
76.9,79
76.8,88
77.2,84
76,1
76.3,93
76.2,92
76.4,89
76,89
74.8,95
74.7,19
74.4,16
74.5,137
74.3,138
74.1,14
73.9,139
73.7,144
73.4,147
73.2,152
72.9,155
72.6,157
72.2,161
72.1,16
72.2,157
72,155
71.8,157
71.6,16
71.1,163
59.9,26
59.3,268
59,27
58.6,271
58.1,275
57.5,279
56.9,283
56.1,288
55.3,293
54.3,32
53.3,313
52.4,323
51.6,332
51,338
56,344
51,348
59.6,288
59.1,297
58.6,33
58,312
57.4,321
56.8,33
56.2,338
55.3,35
54.8,355
54.1,361
53.4,369
52.6,378
51.9,387
51.5,387
51.3,385
58,386
53.3,397
52.8,47
52.3,412
52,415
51.7,419
51.5,417
51,426
54,437
49.9,443
49.4,452
48.7,466
48.2,472
48,473
47.7,473
47.8,467
47.9,461
73.3,114
73,117
72.8,12
72.7,121
72.6,122
72.5,123
72.4,124
72.4,124
72.3,126
72.1,129
71.8,134
71.4,14
71.1,144
77,148
73,152
69.9,155
68.7,174
68.3,179
67.8,183
67.4,186
67,19
66.6,192
66.1,195
65.6,199
65,24
64.1,216
62.9,234
61.5,253
63,268
59.3,273
58.5,273
57.7,274
57.3,357
56.7,366
56.4,364
55.9,369
55.6,371
55.3,37
54.8,373
54.2,382
53.6,395
53.3,394
52.8,4
52.1,412
51.8,412
51.6,47
51.5,41
51.4,394
82.2,64
82,65
81.8,67
81.6,68
81.5,68
81.2,7
81,72
87,74
85,74
85,75
81,76
80,77
79.7,78
79.5,79
79.4,8
79.1,82
52.5,397
58,437
49.9,451
53,439
49.8,443
49.2,446
48.6,453
47.6,477
46.8,495
46.3,56
45.9,511
45.7,512
45.7,51
45.6,58
45.6,54
46,49
53.1,356
52.6,362
52.2,366
51.8,367
51.6,365
51.2,364
57,37
49.6,394
49.4,394
48.5,414
48.6,46
48.5,45
48.4,43
48.1,43
48,4
47.6,44
85,82
83,83
81,84
79.9,84
79.8,86
79.1,89
79.3,91
79.6,88
78.9,9
78.9,91
78.4,93
78,97
77.9,1
77.8,11
77.3,16
77.3,13
76.1,85
75.8,86
75.6,88
75.4,89
75.2,91
75,92
74.9,93
74.5,97
74.4,96
